Apellidos, Nombre;Fecha Inicio abono;Fecha Fin abono;Retribuciones;Cargo Público;Cód. Centro Orgánico;Centro Orgánico;Código Organo;Órgano;Código Dpto;Departamento;Fecha Inicio Relación;Fecha Fin Relación;Fecha Actualización
BERNARDO URQUIJO, JUAN IGNACIO;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;001010000;DIRECCIÓN DE COMUNICACION;001;Lehendakaritza;01;01 - LEHENDAKARITZA;19/12/2012;22/10/2015;30/11/2015
BERNARDO URQUIJO, JUAN IGNACIO;01/01/2015;22/10/2015;54.373,51 €;DIRECTOR/A;001010000;DIRECCIÓN DE COMUNICACION;001;Lehendakaritza;01;01 - LEHENDAKARITZA;19/12/2012;22/10/2015;22/06/2016
BERNARDO URQUIJO, JUAN IGNACIO;23/10/2015;31/12/2015;12.798,09 €;ASESOR/A DE LA SECRETARÍA GENERAL DE PRESIDENCIA;001100000;SECRETARÍA GENERAL DE LA PRESIDENCIA;001;Lehendakaritza;01;01 - LEHENDAKARITZA;23/10/2015;;22/06/2016
BERNARDO URQUIJO, JUAN IGNACIO;01/01/2016;31/12/2016;67.850,20 €;ASESOR/A DE LA SECRETARÍA GENERAL DE PRESIDENCIA;001100000;SECRETARÍA GENERAL DE LA PRESIDENCIA;001;Lehendakaritza;01;01 - LEHENDAKARITZA;23/10/2015;;23/06/2017
BERRAONDO ZABALEGUI, IGNACIO;01/01/2014;31/12/2014;73.295,66 €;DIRECTOR/A;008120000;DIRECCIÓN DE ASEGURAMIENTO Y CONTRATACIÓN SANITARIA;008;Departamento de Salud;08;08 - SALUD;10/01/2013;04/05/2015;30/11/2015
BERRAONDO ZABALEGUI, IGNACIO;01/01/2015;04/05/2015;24.431,88 €;DIRECTOR/A;008120000;DIRECCIÓN DE ASEGURAMIENTO Y CONTRATACIÓN SANITARIA;008;Departamento de Salud;08;08 - SALUD;10/01/2013;04/05/2015;22/06/2016
BERRAONDO ZABALEGUI, IGNACIO JESUS;05/05/2015;31/12/2015;48.863,76 €;DIRECTOR/A;008150000;DIRECCIÓN DE PLANIFICACIÓN, ORDENACIÓN Y EVALUACIÓN SANITARIA;008;Departamento de Salud;08;08 - SALUD;05/05/2015;;22/06/2016
BERRAONDO ZABALEGUI, IGNACIO JESUS;01/01/2016;13/12/2016;70.898,11 €;DIRECTOR/A;008150000;DIRECCIÓN DE PLANIFICACIÓN, ORDENACIÓN Y EVALUACIÓN SANITARIA;008;Departamento de Salud;08;08 - SALUD;05/05/2015;13/12/2016;23/06/2017
BERRAONDO ZABALEGUI, IGNACIO JESUS;14/12/2016;31/12/2016;4.182,21 €;VICECONSEJERO/A;008100000;VICECONSEJERÍA DE SALUD;008;Departamento de Salud;08;08 - SALUD;14/12/2016;;23/06/2017
BERRIOZABAL AZPITARTE, ROMAN VALENTIN;01/01/2014;31/12/2014;71.766,44 €;ASESOR/A PLANIFICACIÓN E INNOVACIÓN SANITARIA;008000000;CONSEJERÍA;008;Departamento de Salud;08;08 - SALUD;06/05/2013;;30/11/2015
BERRIOZABAL AZPITARTE, ROMAN VALENTIN;01/01/2015;31/12/2015;72.718,82 €;ASESOR/A PLANIFICACIÓN E INNOVACIÓN SANITARIA;008000000;CONSEJERÍA;008;Departamento de Salud;08;08 - SALUD;06/05/2013;;22/06/2016
BERRIOZABAL AZPITARTE, ROMAN VALENTIN;01/01/2016;27/11/2016;63.507,24 €;ASESOR/A PLANIFICACIÓN E INNOVACIÓN SANITARIA;008000000;CONSEJERÍA;008;Departamento de Salud;08;08 - SALUD;06/05/2013;27/11/2016;23/06/2017
BERRIOZABAL AZPITARTE, ROMAN VALENTIN;28/11/2016;31/12/2016;10.347,74 €;ASESOR/A PLANIFICACIÓN E INNOVACIÓN SANITARIA;008000000;CONSEJERÍA;008;Departamento de Salud;08;08 - SALUD;28/11/2016;;23/06/2017
BETOLAZA SAN MIGUEL, JON IÑAKI;01/01/2014;31/12/2014;72.166,82 €;DIRECTOR/A;008130000;DIRECCIÓN DE FARMACIA;008;Departamento de Salud;08;08 - SALUD;10/01/2013;;30/11/2015
BETOLAZA SAN MIGUEL, JON IÑAKI;01/01/2015;31/12/2015;73.686,30 €;DIRECTOR/A;008130000;DIRECCIÓN DE FARMACIA;008;Departamento de Salud;08;08 - SALUD;10/01/2013;;22/06/2016
BETOLAZA SAN MIGUEL, JON IÑAKI;01/01/2016;31/12/2016;74.547,87 €;DIRECTOR/A;008130000;DIRECCIÓN DE FARMACIA;008;Departamento de Salud;08;08 - SALUD;10/01/2013;;23/06/2017
BIKANDI IRAZABAL, JAVIER;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;002330000;DIRECCIÓN DE ATENCIÓN A LA CIUDADANÍA E INNOVACIÓN Y MEJORA DE LA ADMINISTRACIÓN;002;Departamento de Administración Pública y Justicia;02;02 - ADMINISTRACIÓN PÚBLICA Y JUSTICIA;19/04/2013;;30/11/2015
BIKANDI IRAZABAL, JAVIER;01/01/2015;31/12/2015;67.087,02 €;DIRECTOR/A;002330000;DIRECCIÓN DE ATENCIÓN A LA CIUDADANÍA E INNOVACIÓN Y MEJORA DE LA ADMINISTRACIÓN;002;Departamento de Administración Pública y Justicia;02;02 - ADMINISTRACIÓN PÚBLICA Y JUSTICIA;19/04/2013;;22/06/2016
BIKANDI IRAZABAL, JAVIER;01/01/2016;31/12/2016;67.757,90 €;DIRECTOR/A;002330000;DIRECCIÓN DE ATENCIÓN A LA CIUDADANÍA E INNOVACIÓN Y MEJORA DE LA ADMINISTRACIÓN;002;Departamento de Administración Pública y Justicia;02;02 - ADMINISTRACIÓN PÚBLICA Y JUSTICIA;19/04/2013;;23/06/2017
BILBAO ELGUEZABAL, LEYRE;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;003110000;DIRECCIÓN DE TECNOLOGÍA Y ESTRATEGIA;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;25/04/2013;;30/11/2015
BILBAO ELGUEZABAL, LEYRE;01/01/2015;31/12/2015;67.087,02 €;DIRECTOR/A;003110000;DIRECCIÓN DE TECNOLOGÍA Y ESTRATEGIA;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;25/04/2013;;22/06/2016
BILBAO ELGUEZABAL, LEYRE;01/01/2016;31/12/2016;67.757,90 €;DIRECTOR/A;003110000;DIRECCIÓN DE TECNOLOGÍA Y ESTRATEGIA;003;Departamento de Desarrollo Económico y Competitividad;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;25/04/2013;27/01/2017;23/06/2017
BILBAO GARAY, JUAN MIGUEL;01/01/2014;31/12/2014;83.353,23 €;VICECONSEJERO/A;005400000;VICECONSEJERÍA DE HACIENDA Y POLÍTICA FINANCIERA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;19/04/2013;;30/11/2015
BILBAO GARAY, JUAN MIGUEL;01/01/2015;31/12/2015;83.592,80 €;VICECONSEJERO/A;005400000;VICECONSEJERÍA DE HACIENDA Y POLÍTICA FINANCIERA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;19/04/2013;;22/06/2016
BILBAO GARAY, JUAN MIGUEL;01/01/2016;31/12/2016;84.757,36 €;VICECONSEJERO/A;005400000;VICECONSEJERÍA DE HACIENDA Y POLÍTICA FINANCIERA;005;Departamento de Hacienda y Finanzas;05;05 - HACIENDA Y FINANZAS;19/04/2013;;23/06/2017
BLASCO ALTUNA, JOSE ANDRES;13/06/2015;31/12/2015;46.371,67 €;VICECONSEJERO/A;004100000;VICECONSEJERÍA DE EMPLEO Y TRABAJO;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;13/06/2015;;22/06/2016
BLASCO ALTUNA, JOSE ANDRES;01/01/2016;31/12/2016;86.240,51 €;VICECONSEJERO/A;004100000;VICECONSEJERÍA DE EMPLEO Y TRABAJO;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;13/06/2015;30/01/2017;23/06/2017
BORONAT ELIZALDE, MARCO;19/12/2014;31/12/2014;2.348,08 €;DIRECTOR/A;009320000;DIRECCIÓN DE PLANIFICACIÓN DEL TRANSPORTE;009;Departamento de Medio Ambiente y Política Territorial;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;19/12/2014;;30/11/2015
BORONAT ELIZALDE, MARCO;01/01/2015;31/12/2015;69.435,10 €;DIRECTOR/A;009320000;DIRECCIÓN DE PLANIFICACIÓN DEL TRANSPORTE;009;Departamento de Medio Ambiente y Política Territorial;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;19/12/2014;;22/06/2016
BORONAT ELIZALDE, MARCO;01/01/2016;30/06/2016;38.718,80 €;DIRECTOR/A;009320000;DIRECCIÓN DE PLANIFICACIÓN DEL TRANSPORTE;009;Departamento de Medio Ambiente y Política Territorial;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;19/12/2014;30/06/2016;23/06/2017
BOTO BASTEGIETA, ALEXANDER;31/07/2015;31/12/2015;28.124,87 €;DIRECTOR/A;009220000;DIRECCIÓN DE MEDIO NATURAL Y PLANIFICACIÓN AMBIENTAL;009;Departamento de Medio Ambiente y Política Territorial;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;31/07/2015;;22/06/2016
BOTO BASTEGIETA, ALEXANDER;01/01/2016;16/12/2016;67.757,90 €;DIRECTOR/A;009220000;DIRECCIÓN DE MEDIO NATURAL Y PLANIFICACIÓN AMBIENTAL;009;Departamento de Medio Ambiente y Política Territorial;09;09 - MEDIO AMBIENTE Y POLÍTICA TERRITORIAL;31/07/2015;16/12/2016;23/06/2017
BUJANDA ARIZMENDI, JOSE MANUEL;01/01/2014;31/12/2014;73.210,36 €;DIRECTOR/A;006010000;DIRECCIÓN DE GABINETE DE LA CONSEJERA O CONSEJERO;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/04/2013;;30/11/2015
BUJANDA ARIZMENDI, JOSE MANUEL;01/01/2015;31/12/2015;73.982,78 €;DIRECTOR/A;006010000;DIRECCIÓN DE GABINETE DE LA CONSEJERA O CONSEJERO;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/04/2013;;22/06/2016
BUJANDA ARIZMENDI, JOSE MANUEL;01/01/2016;16/12/2016;74.779,05 €;DIRECTOR/A;006010000;DIRECCIÓN DE GABINETE DE LA CONSEJERA O CONSEJERO;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;25/04/2013;16/12/2016;23/06/2017
BURGOA VALTIERRA, MIREN YURDANA;14/12/2016;31/12/2016;3.283,70 €;DIRECTOR/A;006010000;DIRECCIÓN DE GABINETE Y COMUNICACIÓN;006;Departamento de Hacienda y Economía;06;06 - HACIENDA Y ECONOMÍA;14/12/2016;;23/06/2017
BURZAKO SAMPER, MIKEL;01/01/2014;31/12/2014;67.087,04 €;DIRECTOR/A;001130000;DIRECCIÓN DE COORDINACIÓN;001;Lehendakaritza;01;01 - LEHENDAKARITZA;01/02/2013;;30/11/2015
BURZAKO SAMPER, MIKEL;01/01/2015;31/12/2015;67.087,02 €;DIRECTOR/A;001130000;DIRECCIÓN DE COORDINACIÓN;001;Lehendakaritza;01;01 - LEHENDAKARITZA;01/02/2013;;22/06/2016
BURZAKO SAMPER, MIKEL;01/01/2016;30/12/2016;67.757,90 €;DIRECTOR/A;001130000;DIRECCIÓN DE COORDINACIÓN;001;Lehendakaritza;01;01 - LEHENDAKARITZA;01/02/2013;30/12/2016;23/06/2017
BURZAKO SAMPER, MIKEL;30/12/2016;31/12/2016;0,00 €;ASESOR/A EN ESTUDIOS Y ANÁLISIS SECTOR PÚBLICO;001130000;CONSEJERÍA;006;Departamento de Hacienda y Economía;06;06 - HACIENDA Y ECONOMÍA;30/12/2016;;23/06/2017
BUSTINDUY BASCARAN, ANA JESUS;01/01/2015;31/12/2015;78.993,38 €;DIRECTOR/A DE INTEGRACIÓN ASISTENCIAL GR.1;060131000;ORGANIZACIÓN SANITARIA INTEGRADA DONOSTIALDEA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/01/2015;;22/06/2016
BUSTINDUY BASCARAN, ANA JESUS;01/01/2014;31/12/2014;67495,93;DIRECTOR/A MÉDICO ATENCIÓN PRIMARIA;060137000;ORGANIZACIÓN SANITARIA INTEGRADA TOLOSALDEA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;18/10/2010;31/12/2014;30/11/2015
BUSTINDUY BASCARAN, ANA JESUS;01/01/2016;31/12/2016;78.756,86 €;DIRECTOR/A DE INTEGRACIÓN ASISTENCIAL GR.1;060131000;ORGANIZACIÓN SANITARIA INTEGRADA DONOSTIALDEA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;01/01/2015;;23/06/2017
CABALLERO BARTUREN, ANDER;01/01/2014;31/12/2014;125.452,79 €;DELEGADO/A;001270000;DELEGACION DE EUSKADI EN ESTADOS UNIDOS;001;Lehendakaritza;01;01 - LEHENDAKARITZA;19/04/2013;;30/11/2015
CABALLERO BARTUREN, ANDER;01/01/2015;31/12/2015;126.347,26 €;DELEGADO/A;001270000;DELEGACION DE EUSKADI EN ESTADOS UNIDOS;001;Lehendakaritza;01;01 - LEHENDAKARITZA;19/04/2013;;22/06/2016
CABALLERO BARTUREN, ANDER;01/01/2016;31/12/2016;128.739,98 €;DELEGADO/A;001270000;DELEGACION DE EUSKADI EN ESTADOS UNIDOS;001;Lehendakaritza;01;01 - LEHENDAKARITZA;19/04/2013;;23/06/2017
CALONGE CRESPO, IÑAKI;01/01/2014;31/12/2014;71.598,74 €;VOCAL COMISIÓN JURÍDICA ASESORA DE EUSKADI;049000000;COMISIÓN JURÍDICA ASESORA DE EUSKADI;049;COJUAE, Comisión Jurídica Asesora de Euskadi;02;02 - ADMINISTRACIÓN PÚBLICA Y JUSTICIA;30/11/2012;;30/11/2015
CALONGE CRESPO, IÑAKI;01/01/2015;31/12/2015;71.598,74 €;VOCAL COMISIÓN JURÍDICA ASESORA DE EUSKADI;049000000;COMISIÓN JURÍDICA ASESORA DE EUSKADI;049;COJUAE, Comisión Jurídica Asesora de Euskadi;02;02 - ADMINISTRACIÓN PÚBLICA Y JUSTICIA;30/11/2012;;22/06/2016
CALVO AGUIRRE, ANA ISABEL;01/02/2014;31/12/2014;66.443,96 €;DIRECTOR/A DE COORDINACIÓN ASISTENCIAL ÁREA MÉDICA GR.3;060132000;ORGANIZACIÓN SANITARIA INTEGRADA GOIERRI-ALTO UROLA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;01/02/2014;;30/11/2015
CALVO AGUIRRE, ANA ISABEL;01/01/2015;31/12/2015;73.211,28 €;DIRECTOR/A DE COORDINACIÓN ASISTENCIAL ÁREA MÉDICA GR.3;060132000;ORGANIZACIÓN SANITARIA INTEGRADA GOIERRI-ALTO UROLA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/02/2014;;22/06/2016
CALVO AGUIRRE, ANA ISABEL;01/01/2016;31/12/2016;73.674,52 €;DIRECTOR/A DE COORDINACIÓN ASISTENCIAL ÁREA MÉDICA GR.3;060132000;ORGANIZACIÓN SANITARIA INTEGRADA GOIERRI-ALTO UROLA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/02/2014;;23/06/2017
CAMINO GARCIA, Mª GUADALUPE;01/01/2014;31/12/2014;72.871,76 €;DIRECTOR/A;007110000;DIRECCIÓN DE GESTIÓN ECONÓMICA Y RECURSOS GENERALES;007;Departamento de Seguridad;07;07 - SEGURIDAD;19/04/2013;;30/11/2015
CAMINO GARCIA, Mª GUADALUPE;01/01/2015;31/12/2015;74.389,47 €;DIRECTOR/A;007110000;DIRECCIÓN DE GESTIÓN ECONÓMICA Y RECURSOS GENERALES;007;Departamento de Seguridad;07;07 - SEGURIDAD;19/04/2013;;22/06/2016
CAMINO GARCIA, Mª GUADALUPE;01/01/2016;31/12/2016;77.945,34 €;DIRECTOR/A;007110000;DIRECCIÓN DE GESTIÓN ECONÓMICA Y RECURSOS GENERALES;007;Departamento de Seguridad;07;07 - SEGURIDAD;19/04/2013;;23/06/2017
CAMPAS VELASCO, JORDI;24/12/2016;31/12/2016;0,00 €;DIRECTOR/A;006210000;DIRECCION DE ECONOMÍA Y PLANIFICACIÓN;006;Departamento de Hacienda y Economía;06;06 - HACIENDA Y ECONOMÍA;24/12/2016;;23/06/2017
CAMPAYO PEREZ, JUAN MIGUEL;01/01/2015;31/12/2015;78.049,54 €;DIRECTOR/A DE INTEGRACIÓN ASISTENCIAL GR.1;060121000;ORGANIZACIÓN SANITARIA INTEGRADA EZKERRALDEA ENKARTERRI CRUCES;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/01/2015;;22/06/2016
CAMPAYO PEREZ, JUAN MIGUEL;01/01/2016;31/12/2016;78.087,38 €;DIRECTOR/A DE INTEGRACIÓN ASISTENCIAL GR.1;060121000;ORGANIZACIÓN SANITARIA INTEGRADA EZKERRALDEA ENKARTERRI CRUCES;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/01/2015;;23/06/2017
CANEDO ARRILLAGA, Mª PILAR;01/01/2014;31/12/2014;78.673,83 €;PRESIDENTE/A AUTORIDAD VASCA DE LA COMPETENCIA;054100000;PRESIDENCIA;054;Autoridad Vasca de la Competencia;05;05 - HACIENDA Y FINANZAS;17/07/2012;;30/11/2015
CANEDO ARRILLAGA, Mª PILAR;01/01/2015;31/12/2015;78.673,84 €;PRESIDENTE/A AUTORIDAD VASCA DE LA COMPETENCIA;054100000;PRESIDENCIA;054;Autoridad Vasca de la Competencia;05;05 - HACIENDA Y FINANZAS;17/07/2012;;22/06/2016
CARLOS DE BERGARA ETXEZARRETA, FRANCISCO JAVIER;13/06/2015;01/11/2015;33.913,97 €;ASESOR/A DE POLÍTICAS SOCIALES;004000000;CONSEJERÍA;004;Departamento de Empleo y Políticas Sociales;04;04 - EMPLEO Y POLÍTICAS SOCIALES;13/06/2015;01/11/2015;22/06/2016
CARLOS DE BERGARA ETXEZARRETA, FRANCISCO JAVIER;01/01/2014;31/12/2014;72523,82;DIRECTOR/A;053110000;DIRECCIÓN DE SERVICIOS GENERALES;053;LANBIDE, Servicio Vasco de Empleo;04;04 - EMPLEO Y POLÍTICAS SOCIALES;25/01/2013;12/06/2015;30/11/2015
CARLOS DE BERGARA ETXEZARRETA, FRANCISCO JAVIER;01/01/2015;12/06/2015;28.483,46 €;DIRECTOR/A;053110000;DIRECCIÓN DE SERVICIOS GENERALES;053;LANBIDE, Servicio Vasco de Empleo;04;04 - EMPLEO Y POLÍTICAS SOCIALES;25/01/2013;12/06/2015;22/06/2016
CASTILLA ALBISU, JUAN MANUEL;01/01/2014;16/02/2014;8572,23;DIRECTOR/A;001110000;DIRECCIÓN DE GABINETE DE ESTUDIOS;001;Lehendakaritza;01;01 - LEHENDAKARITZA;19/04/2013;16/02/2014;30/11/2015
CASTILLA ALBISU, JUAN MANUEL;17/02/2014;31/12/2014;58.514,81 €;DIRECTOR/A;001110000;DIRECCIÓN DE GABINETE DE ESTUDIOS;001;Lehendakaritza;01;01 - LEHENDAKARITZA;17/02/2014;;30/11/2015
CASTILLA ALBISU, JUAN MANUEL;01/01/2015;31/12/2015;67.171,60 €;DIRECTOR/A;001110000;DIRECCIÓN DE GABINETE DE ESTUDIOS;001;Lehendakaritza;01;01 - LEHENDAKARITZA;17/02/2014;;22/06/2016
CASTILLA ALBISU, JUAN MANUEL;01/01/2016;31/12/2016;67.850,20 €;DIRECTOR/A;001110000;DIRECCIÓN DE GABINETE DE ESTUDIOS;001;Lehendakaritza;01;01 - LEHENDAKARITZA;17/02/2014;;23/06/2017
COLMENERO SALGADO, SILVIA;07/12/2016;31/12/2016;4.560,69 €;ASESOR/A EN COMUNICACIONES;009000000;CONSEJERÍA;009;Departamento de  Turismo, Comercio y Consumo;09;09 - TURISMO, COMERCIO Y CONSUMO;07/12/2016;;23/06/2017
CORRES ABÁSOLO, JOSÉ MIGUEL;01/01/2014;31/12/2014;79.785,34 €;DIRECTOR/A GENERAL;137010000;Parque Tecnológico-Teknologi Elkartegia, S.A.;137;Parque Tecnológico-Teknologi Elkartegia, S.A.;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;21/02/2013;;30/11/2015
CORRES ABÁSOLO, JOSÉ MIGUEL;01/01/2015;31/12/2015;87.544,58 €;DIRECTOR/A GENERAL;137010000;DIRECCIÓN GENERAL / GERENCIA;137;Parque Tecnológico-Teknologi Elkartegia, S.A.;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;21/02/2013;;22/06/2016
CORRES ABÁSOLO, JOSÉ MIGUEL;01/01/2016;14/12/2016;85.409,72 €;DIRECTOR/A GENERAL;137010000;DIRECCIÓN GENERAL / GERENCIA;137;Parque Tecnológico-Teknologi Elkartegia, S.A.;03;03 - DESARROLLO ECONÓMICO Y COMPETITIVIDAD;21/02/2013;14/12/2016;23/06/2017
DARPON SIERRA, JON;01/01/2014;31/12/2014;86.930,06 €;CONSEJERO/A DEL DEPARTAMENTO;008000000;CONSEJERÍA;008;Departamento de Salud;08;08 - SALUD;17/12/2012;;30/11/2015
DARPON SIERRA, JON;01/01/2015;31/12/2015;87.056,52 €;CONSEJERO/A DEL DEPARTAMENTO;008000000;CONSEJERÍA;008;Departamento de Salud;08;08 - SALUD;17/12/2012;;22/06/2016
DARPON SIERRA, JON;01/01/2016;27/11/2016;75.394,56 €;CONSEJERO/A DEL DEPARTAMENTO;008000000;CONSEJERÍA;008;Departamento de Salud;08;08 - SALUD;17/12/2012;27/11/2016;23/06/2017
DARPON SIERRA, JON;28/11/2016;31/12/2016;12.542,76 €;CONSEJERO/A DEL DEPARTAMENTO;008000000;CONSEJERÍA;008;Departamento de Salud;08;08 - SALUD;28/11/2016;;23/06/2017
DE ALLENDE ACHALANDABASO, AMAYA;05/05/2014;31/12/2014;73.618,59 €;DIRECTOR/A DE PERSONAL GR.2;060122000;ORGANIZACIÓN SANITARIA INTEGRADA BILBAO-BASURTO;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;05/05/2014;;30/11/2015
DE ALLENDE ACHALANDABASO, AMAYA;01/01/2015;31/12/2015;74.870,23 €;DIRECTOR/A DE PERSONAL GR.2;060122000;ORGANIZACIÓN SANITARIA INTEGRADA BILBAO-BASURTO;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;05/05/2014;;22/06/2016
DE ALLENDE ACHALANDABASO, AMAYA;01/01/2016;31/12/2016;74.463,40 €;DIRECTOR/A DE PERSONAL GR.2;060122000;ORGANIZACIÓN SANITARIA INTEGRADA BILBAO-BASURTO;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;05/05/2014;;23/06/2017
DE BLAS DE BLAS, ANTONIO;01/01/2014;31/12/2014;78.152,95 €;DIRECTOR/A GERENTE ATENCIÓN PRIMARIA;060114000;COMARCA ARABA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;16/05/1999;;30/11/2015
DE BLAS DE BLAS, ANTONIO;01/01/2015;31/12/2015;78.961,68 €;DIRECTOR/A GERENTE ATENCIÓN PRIMARIA;060114000;COMARCA ARABA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;16/05/1999;31/12/2015;22/06/2016
DE LA PUENTE PAGOLA, JUAN RAMON;01/01/2014;31/12/2014;75.908,84 €;DIRECTOR/A DE PERSONAL GR.1;060131000;ORGANIZACIÓN SANITARIA INTEGRADA DONOSTIALDEA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;01/11/2009;31/12/2014;30/11/2015
DE LA PUENTE PAGOLA, JUAN RAMON;01/01/2015;31/12/2015;76.863,44 €;DIRECTOR/A DE PERSONAL GR.1;060131000;ORGANIZACIÓN SANITARIA INTEGRADA DONOSTIALDEA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/01/2015;;22/06/2016
DE LA PUENTE PAGOLA, JUAN RAMON;01/01/2016;31/12/2016;76.287,76 €;DIRECTOR/A DE PERSONAL GR.1;060131000;ORGANIZACIÓN SANITARIA INTEGRADA DONOSTIALDEA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/01/2015;26/02/2017;23/06/2017
DE LA SOTA GALDIZ, RICARDO BORJA;01/01/2014;31/12/2014;73.714,02 €;SECRETARIO/A GENERAL;205010000;Consejo de Relaciones Laborales;205;Consejo de Relaciones Laborales;88;88 - Otros Entes, LEY 1/2014, de 26 de junio;27/02/2013;;30/11/2015
DE LA SOTA GALDIZ, RICARDO BORJA;01/01/2015;31/12/2015;73.714,02 €;SECRETARIO/A GENERAL;205010000;PRESIDENCIA;205;CRL, Consejo de Relaciones Laborales;88;88 - Otros Entes, LEY 1/2014, de 26 de junio;27/02/2013;;22/06/2016
DE LA SOTA GALDIZ, RICARDO BORJA;01/01/2016;31/12/2016;74.968,10 €;SECRETARIO/A GENERAL;205010000;PRESIDENCIA;205;CRL, Consejo de Relaciones Laborales;88;88 - Otros Entes, LEY 1/2014, de 26 de junio;27/02/2013;;23/06/2017
DE MIGUEL AGUIRRE, MIREN EGUZKINE;01/01/2014;31/12/2014;69.119,72 €;DIRECTOR/A GERENTE GR.4;060113000;RED DE SALUD MENTAL DE ARABA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;01/01/2006;;30/11/2015
DE MIGUEL AGUIRRE, MIREN EGUZKINE;01/01/2015;31/12/2015;69.192,72 €;DIRECTOR/A GERENTE GR.4;060113000;RED DE SALUD MENTAL DE ARABA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/01/2006;;22/06/2016
DE MIGUEL AGUIRRE, MIREN EGUZKINE;01/01/2016;31/12/2016;69.609,12 €;DIRECTOR/A GERENTE GR.4;060113000;RED DE SALUD MENTAL DE ARABA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/01/2006;;23/06/2017
DELGADO FONTANEDA, ADOLFO;01/01/2014;31/12/2014;65.112,68 €;DIRECTOR/A MÉDICO ATENCIÓN PRIMARIA;060114000;COMARCA ARABA;060;OSAKIDETZA - Servicio vasco de salud;08;08 - SALUD;17/11/2011;;30/11/2015
DELGADO FONTANEDA, ADOLFO;01/01/2015;31/12/2015;66.614,38 €;DIRECTOR/A MÉDICO ATENCIÓN PRIMARIA;060114000;COMARCA ARABA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;17/11/2011;31/12/2015;22/06/2016
DELGADO FONTANEDA, ADOLFO;01/01/2016;31/12/2016;76.078,94 €;DIRECTOR/A DE INTEGRACIÓN ASISTENCIAL GR.1;060111000;ORGANIZACIÓN SANITARIA INTEGRADA ARABA;060;OSAKIDETZA, Servicio vasco de salud;08;08 - SALUD;01/01/2016;;23/06/2017
DIEGO CASALS, JUAN LUIS;01/09/2015;15/09/2015;2.981,17 €;ASESOR/A COORDINACIÓN PLAN DE PAZ Y CONVIVENCIA;006000000;CONSEJERÍA;006;Departamento de Educación, Política Lingüística y Cultura;06;06 - EDUCACIÓN, POLÍTICA LINGÜÍSTICA Y CULTURA;01/09/2015;15/09/2015;22/06/2016
