Registro de contratos del Sector Público de Euskadi del 2017																																																																																			
																																																																																			
Fecha de última actualización	15/02/2017																																																																																		
																																																																																			
																																																																																			
Estado contrato	Título de contrato	Tipo de contrato	Año del contrato	Contrato menor	Ámbito	Tipo de administración	Tipo de administración Local	Poder adjudicador	Entidad impulsora	Órgano contratante	Entidad Tramitadora	Mesa de contratación	Objeto del contrato	Código identificador del contrato	Lugar de ejecución	¿Lugar ejecución principal en la Unión Europea?	NUTS	Países	Código CPV	¿Contratación por lotes?	¿Contratación mixto?	¿Acuerdo marco?	¿Contrato complementario?	¿Publicidad?	Fecha publicación en el BOE	Fecha publicación en el BOPV	Fecha publicación en el boletín de territorio histórico	Fecha publicación en el DOUE	Fecha publicación en el perfil de contratante	Anuncios prensa	Tramitación	Procedimiento de adjudicación	Criterios de valoración	Importe de licitación sin IVA	Importe de licitación con IVA	IVA del importe de licitación	Importe de adjudicación sin IVA	Importe de adjudicación con IVA	IVA del importe de adjudicación	Plazo de ejecución	Plazo de ejecución (meses)	¿Carácter plurianual?	Anualidad	¿Revisión de precios establecidos?	Nº de licitadores presentados	Adjudicatario	Fecha de adjudicación	Fecha de formalización	Observación de la adjudicación/ formalización del contrato en castellano	Observación de la adjudicación/ formalización del contrato en euskera	Fórmulas de revisión de precios	Clasificación exigida	Aportaciones públicas a la construcción	Plazo de concesión (meses)	Modalidad de contratación	Duración	Modalidad importe	Valor modalidad	Tipo de contrato de suministro	Precios unitarios	País de origen de los productos adquiridos	Modalidad de determinación del precio	Indicación del supuesto de aplicación que amparó el uso del procedimiento	Número de invitaciones	¿Indicador de ingreso?	Modalidad que determina el importe del contrato	Modificación del objeto	Modificación del plazo	Modificación del adjudicatario	Concepto castellano	Concepto euskera	Fecha acuerdo	Importe	Resolución contrato	Finalización contrato	Porcentaje	Participantes	Objeto de recurso	Régimen general	Supuestos especiales	Indemnización	Importe	Continuidad del contrato
Ejecución	7 Cursos de educacion vocal	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Viceconsejería de Administración y Servicios	Educación	Mesa de Contratación - Educación	7 Cursos de educacion vocal	PREVENCION 2017/8579_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:80510000-2,Descripción:Servicios de formación especializada,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	4.165	4.165		4.165	4.165			11	No		No	1	Razón Social:ASIER ULIARTE QUINTANILLA CENTRO LOGOPEDICO DURANGO,Nacionalidad:España,Provincia:Bizkaia,UTE:No	23/01/2017	23/01/2017																	No																		No
Ejecución	Servicio de recogida, transporte y eliminación de residuos sanitarios del IVML de Gipuzkoa, durante el año 2017	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Gobernanza Pública y Autogobierno	Dirección de Servicios	Gobernanza Pública y Autogobierno	Mesa de Contratación - Gobernanza Pública y Autogobierno	Servicio de recogida, transporte y eliminación de residuos sanitarios del IVML de Gipuzkoa, durante el año 2017	M-019/2017 DGPA574_00000000000000000000001		Si	Código:ES212,Descripción:Gipuzkoa,Principal: Si		Código:90500000-2,Descripción:Servicios relacionados con desperdicios y residuos,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	12.727,27	14.000	10%(Tipo de IVA reducido)	12.727,27	14.000			12	No		No	1	Razón Social:ELIRECON,Nacionalidad:España,Provincia:Gipuzkoa,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	Servicio de limpieza de ropa para atender las necesidades del Juzgado de guardia  de Bilbao y las dependencias del IVML durante el año 2017	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Gobernanza Pública y Autogobierno	Dirección de Servicios	Gobernanza Pública y Autogobierno	Mesa de Contratación - Gobernanza Pública y Autogobierno	Servicio de limpieza de ropa para atender las necesidades del Juzgado de guardia  de Bilbao y las dependencias del IVML durante el año 2017	M-020/2017 DGPA574_00000000000000000000001		Si	Código:ES212,Descripción:Gipuzkoa,Principal: Si		Código:90500000-2,Descripción:Servicios relacionados con desperdicios y residuos,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.999,17	21.779	10%(Tipo de IVA reducido)	12.727,27	14.000			12	No		No	1	Razón Social:LAVANDERIA CONDOR, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	Gestión de residuos sanitarios y químicos del Servicio de Patología y del Laboratorio del Instituto Vasco  de Medicina Legal en Bizkaia	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Gobernanza Pública y Autogobierno	Dirección de Servicios	Gobernanza Pública y Autogobierno	Mesa de Contratación - Gobernanza Pública y Autogobierno	Gestión de residuos sanitarios y químicos del Servicio de Patología y del Laboratorio del Instituto Vasco  de Medicina Legal en Bizkaia	M-021/2017 DGPA574_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90500000-2,Descripción:Servicios relacionados con desperdicios y residuos,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	13.636,36	15.000	10%(Tipo de IVA reducido)	13.636,36	15.000			12	No		No	1	Razón Social:ELIRECON,Nacionalidad:España,Provincia:Gipuzkoa,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	El mantenimiento de los Portales de la Dirección de Política Familiar y Desarrollo Comunitario: ZEUK ESAN, VOLUNTARIADO Y GURASOTASUNA	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Empleo y Políticas Sociales	Dirección de Servicios	Empleo y Políticas Sociales	Mesa de Contratación - Empleo y Políticas Sociales	El mantenimiento de los Portales de la Dirección de Política Familiar y Desarrollo Comunitario: ZEUK ESAN, VOLUNTARIADO Y GURASOTASUNA	M-003-DEPS2017576_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:50324100-3,Descripción:Servicios de mantenimiento de sistemas,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	6.475	7.835		6.475	7.835			11	No		No	1	Razón Social:CREATTA NET, S.C.,Nacionalidad:España,Provincia:Araba/Álava,UTE:No	23/01/2017	23/01/2017																	No																		No
Ejecución	Suministro de gas para el palacio Artaza	Suministros	2017	No	CAPV	CCAA		Gobierno Vasco	Presidencia del Gobierno - Lehendakaritza	Secretaría General de la Presidencia	Presidencia del Gobierno - Lehendakaritza	Mesa de Contratación - Presidencia	Suministro de gas para el Palacio Artaza	CM/DS/023/2017573_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:09123000-7,Descripción:Gas natural,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	4.132,23	5.000	21%(Tipo de IVA general)	4.132,23	5.000			12	No		No	1	Razón Social:EDP COMERCIALIZADORA DE ÚLTIMO RECURSO, S.A.,Nacionalidad:España,Provincia:Asturias,UTE:No	01/01/2017	01/01/2017																	No																		No
Ejecución	7 Cursos de educacion vocal	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Viceconsejería de Administración y Servicios	Educación	Mesa de Contratación - Educación	7 Cursos de educacion vocal	PREVENCION 2017/9579_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:80510000-2,Descripción:Servicios de formación especializada,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	4.165	4.165		4.165	4.165			11	No		No	1	Razón Social:CENTRO DE LOGOPEDIA M&V,Nacionalidad:España,Provincia:Bizkaia,UTE:No	24/01/2017	24/01/2017																	No																		No
Ejecución	Analiticas reconocimientos medicos	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Viceconsejería de Administración y Servicios	Educación	Mesa de Contratación - Educación	Analiticas reconocimientos medicos	PREVENCION 2017/10579_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:85148000-8,Descripción:Servicios de análisis médicos,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.999	17.999		17.999	17.999			11	No		No	1	Razón Social:IGUALATORIO MÉDICO QUIRÚRGICO PREVENCIÓN, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	24/01/2017	24/01/2017																	No																		No
Ejecución	Suscripción a revistas medico-deportivas en el año 2017	Suministros	2017	No	CAPV	CCAA		Gobierno Vasco	Cultura y Política Lingüística	Dirección de Servicios de Cultura y Política Lingüística	Cultura y Política Lingüística	Mesa de Contratación - Cultura y Política Lingüística	Suscripción a revistas medico-deportivas en 2017	CPT-2017-001582_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:22211000-2,Descripción:Revistas especializadas,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	4.381,89	4.557	4%(Tipo de IVA superreducido)	4.381,89	4.557			12	No		No	1	Razón Social:Alda. Urquijo, 35  48919  BILBAO,Nacionalidad:España,Provincia:Bizkaia,UTE:No	19/01/2017	19/01/2017																	No																		No
Ejecución	Limpieza de Puertos de Bizkaia: Mundaka, Bermeo, Armintza y Plentizia (Del 25/1/2017 al 31/1/2017)	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Desarrollo Económico e Infraestructuras	Dirección de Servicios	Desarrollo Económico e Infraestructuras	Mesa de Contratación - Desarrollo Económico e Infraestructuras	Limpieza de Puertos de Bizkaia: Mundaka, Bermeo, Armintza y Plentizia (Del 25/1/2017 al 31/1/2017)	03_006_2017_51_P575_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90910000-9,Descripción:Servicios de limpieza,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	14.520,80	15.973	10%(Tipo de IVA reducido)	14.520,80	15.973				No		No	1	Razón Social:BIDEZAIN, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	11/01/2017	11/01/2017																	No																		No
Ejecución	Limpieza de Puertos de Bizkaia: Mundaka, Bermeo, Armintza y Plentizia (Del 17/1/2017 al 24/1/2017)	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Desarrollo Económico e Infraestructuras	Dirección de Servicios	Desarrollo Económico e Infraestructuras	Mesa de Contratación - Desarrollo Económico e Infraestructuras	Limpieza de Puertos de Bizkaia: Mundaka, Bermeo, Armintza y Plentizia (Del 17/1/2017 al 24/1/2017)	03_004_2017_51_P575_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90910000-9,Descripción:Servicios de limpieza,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	16.595,04	18.255	10%(Tipo de IVA reducido)	16.595,04	18.255				No		No	1	Razón Social:BIDEZAIN, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	12/01/2017	12/01/2017																	No																		No
Ejecución	Limpieza de Puertos de Bizkaia: Mundaka, Bermeo, Armintza y Plentizia (Del 1/2/2017 al 7/2/2017)	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Desarrollo Económico e Infraestructuras	Dirección de Servicios	Desarrollo Económico e Infraestructuras	Mesa de Contratación - Desarrollo Económico e Infraestructuras	Limpieza de Puertos de Bizkaia: Mundaka, Bermeo, Armintza y Plentizia (Del 1/2/2017 al 7/2/2017)	03_007_2017_51_P575_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90910000-9,Descripción:Servicios de limpieza,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	16.076,48	17.684	10%(Tipo de IVA reducido)	16.076,48	17.684				No		No	1	Razón Social:BIDEZAIN, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	11/01/2017	11/01/2017																	No																		No
Ejecución	Limpieza de Puertos de Bizkaia: Mundaka, Bermeo, Armintza y Plentizia (Del 8/2/2017 al 14/2/2017)	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Desarrollo Económico e Infraestructuras	Dirección de Servicios	Desarrollo Económico e Infraestructuras	Mesa de Contratación - Desarrollo Económico e Infraestructuras	Limpieza de Puertos de Bizkaia: Mundaka, Bermeo, Armintza y Plentizia (Del 8/2/2017 al 14/2/2017)	03_008_2017_51_P575_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90910000-9,Descripción:Servicios de limpieza,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	16.076,48	17.684	10%(Tipo de IVA reducido)	16.076,48	17.684				No		No	1	Razón Social:BIDEZAIN, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	11/01/2017	11/01/2017																	No																		No
Ejecución	Realización del procesamiento, revisión y análisis de mejoras de información y documentación para el Plan Director del Transporte Sostenible	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Desarrollo Económico e Infraestructuras	Dirección de Servicios	Desarrollo Económico e Infraestructuras	Mesa de Contratación - Desarrollo Económico e Infraestructuras	Realización del procesamiento, revisión y análisis de mejoras de información y documentación para el Plan Director del Transporte Sostenible	03_005_2017_52575_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:71356200-0,Descripción:Servicios de asistencia técnica,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.900	21.659	21%(Tipo de IVA general)	17.900	21.659			2	No		No	1	Razón Social:PRICEWATERHOUSECOOOPERS ASESORES DE NEGOCIOS, S.L.,Nacionalidad:España,Provincia:Madrid,UTE:No	24/01/2017	24/01/2017																	No																		No
Ejecución	Suministro de reactivos y químicos para el procesador de muestras del laboratorio de histopatología del IVML de Bizkaia	Suministros	2017	No	CAPV	CCAA		Gobierno Vasco	Gobernanza Pública y Autogobierno	Dirección de Servicios	Gobernanza Pública y Autogobierno	Mesa de Contratación - Gobernanza Pública y Autogobierno	Suministro de reactivos y químicos para el procesador de muestras del laboratorio de histopatología del IVML de Bizkaia	M-022/2017 DGPA574_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:33696500-0,Descripción:Reactivos de laboratorio,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	10.010,98	12.113	21%(Tipo de IVA general)	10.010,98	12.113			12	No		No	1	Razón Social:MEDICAL NORTE, S.A.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	Limpieza de la oficina del Observatorio Vasco de la Juventud, sita en la calle Huertas de la Villa, nº 11-bajo de Bilbao	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Empleo y Políticas Sociales	Dirección de Servicios	Empleo y Políticas Sociales	Mesa de Contratación - Empleo y Políticas Sociales	Limpieza de la oficina del Observatorio Vasco de la Juventud, sita en la calle Huertas de la Villa, nº 11-bajo de Bilbao	M-004-DEPS2017576_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90910000-9,Descripción:Servicios de limpieza,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	9.327,84	11.287		9.327,84	11.287			12	No		No	1	Razón Social:LIMPIEZAS ABANDO, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	01/01/2017	01/01/2017																	No																		No
Ejecución	Contratación Soporte QMATIC 2017	Servicios	2017	No	CAPV	Otros		EJIE, S.A. - Sociedad Informática del Gobierno Vasco	EJIE-Sociedad Informática del Gobierno Vasco	Director General, Presidente, Vicepresidente del Consejo de Administración o Consejo de Administración, según las Instrucciones Internas de Contratación de EJIE, S.A.	EJIE-Sociedad Informática del Gobierno Vasco	Mesa de Contratación - EJIE - Sociedad Informática del Gobierno Vasco	Contratación Soporte QMATIC 2017	1701020181_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:72500000-0,Descripción:Servicios informáticos,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	16.198,20	19.600	21%(Tipo de IVA general)	16.198,20	19.600			12	No		No	1	Razón Social:Q-MATIC SISTEMAS, S.A.,Nacionalidad:España,Provincia:Madrid,UTE:No	11/01/2017	11/01/2017																	No																		No
Ejecución	Higienización sanitaria de las dependencias judiciales de Bizkaia	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Gobernanza Pública y Autogobierno	Dirección de Servicios	Gobernanza Pública y Autogobierno	Mesa de Contratación - Gobernanza Pública y Autogobierno	Higienización sanitaria de las dependencias judiciales de Bizkaia	M-023/2017 DGPA574_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:90900000-6,Descripción:Servicios sanitarios y de limpieza,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	9.917,36	12.000	21%(Tipo de IVA general)	9.917,36	12.000			12	No		No	1	Razón Social:SITEHISA TRABIO, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	Equipación ICP-Masas, patrones, y puesta a punto de las aplicaciones para el laboratorio forense del IVML ubicado en Bilbao	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Gobernanza Pública y Autogobierno	Dirección de Servicios	Gobernanza Pública y Autogobierno	Mesa de Contratación - Gobernanza Pública y Autogobierno	Equipación ICP-Masas, patrones, y puesta a punto de las aplicaciones para el laboratorio forense del IVML ubicado en Bilbao	M-024/2017 DGPA574_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:71900000-7,Descripción:Servicios de laboratorio,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	8.183,98	9.903	21%(Tipo de IVA general)	8.183,98	9.903			12	No		No	1	Razón Social:PERKINELMER ESPAÑA SL,Nacionalidad:España,Provincia:Madrid,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	Asistencia técnica en el funcionamiento operativo del sistema Web de Eustat para 2017	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	EUSTAT - Instituto Vasco de Estadística	Director/a general del Instituto Vasco de Estadística-EUSTAT	EUSTAT - Instituto Vasco de Estadística	Mesa de Contratación - EUSTAT - Instituto Vasco de Estadística	Soporte técnico en el funcionamiento del sistema Web de Eustat para 2016	CM 04/2017590_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:72212224-5,Descripción:Servicios de desarrollo de software de edición de páginas web,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.994,50	21.773	21%(Tipo de IVA general)	17.994,50	21.773			11	No		No	1	Razón Social:ODEI, S.A.,Nacionalidad:España,Provincia:Araba/Álava,UTE:No	16/01/2017	16/01/2017																	No																		No
Ejecución	Elaboración del estudio diagnostico social de Eibar y la elaboración de planes sectoriales 2017-2027	Servicios	2017	No	Gipuzkoa	Entidad Local	Ayuntamiento	Ayuntamiento de Eibar	Ayuntamiento de Eibar	Alcalde del Ayuntamiento de Eibar	Ayuntamiento de Eibar		Elaboración del estudio diagnostico social de Eibar y la elaboracion de planes sectoriales 2017-2027	2016038179_00000000000000000000001		Si	Código:ES212,Descripción:Gipuzkoa,Principal: Si		Código:79315000-5,Descripción:Servicios de investigación social,Principal:Si	No	No	No	No	Si			25/11/2016		25/11/2016		Ordinaria	Abierto	Oferta más ventajosa	47.400	60.000	21%(Tipo de IVA general)	44.628,12	54.000	47.400		6	No		No	2	Razón Social:IKEI RESEARCH & CONSULTANCY, S.A.,Nacionalidad:España,Provincia:Gipuzkoa,UTE:No	02/01/2017	25/01/2017																	No																		No
Ejecución	Traducción de documentos inglés/castellano y castellano/inglés para Eustat	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	EUSTAT - Instituto Vasco de Estadística	Director/a general del Instituto Vasco de Estadística-EUSTAT	EUSTAT - Instituto Vasco de Estadística	Mesa de Contratación - EUSTAT - Instituto Vasco de Estadística	Traducción de documentos inglés/castellano y castellano/inglés para Eustat	CM 03/2017590_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:79530000-8,Descripción:Servicios de traducción,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	14.871,90	17.995	21%(Tipo de IVA general)	14.871,90	17.995			12	No		No	1	Razón Social:OFILINGUA, S.L.,Nacionalidad:España,Provincia:Granada,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	Organización de viajes y estancias para Eustat	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	EUSTAT - Instituto Vasco de Estadística	Director/a general del Instituto Vasco de Estadística-EUSTAT	EUSTAT - Instituto Vasco de Estadística	Mesa de Contratación - EUSTAT - Instituto Vasco de Estadística	Organización de viajes y estancias para Eustat	CM 02/2017590_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:63510000-7,Descripción:Servicios de agencias de viajes y servicios similares,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.196,65	21.768	21%(Tipo de IVA general)	17.196,65	21.768			11	No		No	1	Razón Social:EROSKI BIDAIAK, S.A.,Nacionalidad:España,Provincia:Araba/Álava,UTE:No	02/01/2017	02/01/2017																	No																		No
Ejecución	Justificación Mantenimiento Jardines del Seminario 2017	Servicios	2017	No	CAPV	Otros		EJIE, S.A. - Sociedad Informática del Gobierno Vasco	EJIE-Sociedad Informática del Gobierno Vasco	Director General, Presidente, Vicepresidente del Consejo de Administración o Consejo de Administración, según las Instrucciones Internas de Contratación de EJIE, S.A.	EJIE-Sociedad Informática del Gobierno Vasco	Mesa de Contratación - EJIE - Sociedad Informática del Gobierno Vasco	Justificación Mantenimiento Jardines del Seminario 2017	1701018181_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:77311000-3,Descripción:Servicios de mantenimiento de jardines y parques,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	6.600	7.986	21%(Tipo de IVA general)	6.600	7.986			12	No		No	1	Razón Social:JARDINERIA PORTAL DE GAMARRA, S.L.,Nacionalidad:España,Provincia:Araba/Álava,UTE:No	10/01/2017	10/01/2017																	No																		No
Ejecución	Mantenimiento Zonas Ajardinadas Ejie 2017	Servicios	2017	No	CAPV	Otros		EJIE, S.A. - Sociedad Informática del Gobierno Vasco	EJIE-Sociedad Informática del Gobierno Vasco	Director General, Presidente, Vicepresidente del Consejo de Administración o Consejo de Administración, según las Instrucciones Internas de Contratación de EJIE, S.A.	EJIE-Sociedad Informática del Gobierno Vasco	Mesa de Contratación - EJIE - Sociedad Informática del Gobierno Vasco	Mantenimiento Zonas Ajardinadas Ejie 2017	1701013181_00000000000000000000001		Si	Código:ES211,Descripción:Araba/Álava,Principal: Si		Código:77311000-3,Descripción:Servicios de mantenimiento de jardines y parques,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	5.285,28	6.395	21%(Tipo de IVA general)	5.285,28	6.395			12	No		No	1	Razón Social:INDOR GARDEEN S.L.,Nacionalidad:España,Provincia:Araba/Álava,UTE:No	11/01/2017	11/01/2017																	No																		No
Ejecución	Renovación del soporte y mantenimiento de licencias del software para atención a personas protegidas en movilidad.	Suministros	2017	No	CAPV	CCAA		Gobierno Vasco	Seguridad	Dirección de Gestión Económica y Recursos Generales	Seguridad	Mesa de Contratación - Seguridad	renovación del soporte y mantenimiento de licencias del software para atención a personas protegidasen movilidad.	S-007/2017583_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:48000000-8,Descripción:Paquetes de software y sistemas de información,Principal:Si	No	No	No	No	Si					25/01/2017		Ordinaria	Negociado	Precio más ventajoso	27.945	33.813	21%(Tipo de IVA general)	27.945	33.813			11	No		No	1	Razón Social:Genasys II Spain, S.A.U.,Nacionalidad:España,Provincia:Madrid,UTE:No	12/01/2017	19/01/2017																	No																		No
Ejecución	Suministro de talonarios impresos	Suministros	2017	No	CAPV	CCAA		Gobierno Vasco	Seguridad	Dirección de Gestión Económica y Recursos Generales	Seguridad	Mesa de Contratación - Seguridad	Suministro de talonarios impresos	S0035/2017583_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:22815000-6,Descripción:Talonarios de notas,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	18.000	21.780		18.000	21.780			12	No		No	1	Razón Social:GRÁFICAS INDAUCHU, S.L.,Nacionalidad:España,Provincia:Bizkaia,UTE:No	09/01/2017	09/01/2017																	No																		No
Ejecución	Mantenimiento integral evolutivo y soporte a usuarios de la plataforma SIFEI 14.20, del Fondo Social Europeo	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Empleo y Políticas Sociales	Dirección de Servicios	Empleo y Políticas Sociales	Mesa de Contratación - Empleo y Políticas Sociales	Mantenimiento integral evolutivo y soporte a usuarios de la plataforma SIFEI 14.20, del Fondo Social Europeo	M-005-DEPS2017576_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:50324100-3,Descripción:Servicios de mantenimiento de sistemas,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.999	21.779		17.999	21.779			12	No		No	1	Razón Social:IA SOFT ARAGON S.L.,Nacionalidad:España,Provincia:Zaragoza,UTE:No	01/01/2017	01/01/2017																	No																		No
Ejecución	Asistencia técnica para la administración del web Mugibili y sus redes sociales	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Cultura y Política Lingüística	Dirección de Juventud y Deportes	Cultura y Política Lingüística	Mesa de Contratación - Cultura y Política Lingüística	Asistencia técnica para la administración del web Mugibili y sus redes sociales	KIROLAK 2017/001582_00000000000000000000001		Si	Código:ES212,Descripción:Gipuzkoa,Principal: Si		Código:72500000-0,Descripción:Servicios informáticos,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	17.999	21.779		17.999	21.779			10	No		No	1	Razón Social:ALBERTO MELLA GARATE,Nacionalidad:España,Provincia:Gipuzkoa,UTE:No	16/01/2017	16/01/2017																	No																		No
Ejecución	Conferencia impartida por Asier Larrinaga	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Dirección de Innovación Educativa	Educación	Mesa de Contratación - Educación	Conferencias para completar los programas de los centros de IRALE	IRALE-2017/urtarrila-01579_00000000000000000000001		Si	Código:ES213,Descripción:Bizkaia,Principal: Si		Código:79632000-3,Descripción:Servicios de formación de personal,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	118,5	150		118,5	150				No		No	1	Razón Social:Asier Larrinaga,Nacionalidad:España,Provincia:Bizkaia,UTE:No	16/01/2017	16/01/2017																	No																		No
Ejecución	EGA 2017 trabajos de Psicometría	Servicios	2017	No	CAPV	CCAA		Gobierno Vasco	Educación	Dirección de Innovación Educativa	Educación	Mesa de Contratación - Educación	Calibración y equiparación de las pruebas iniciales de EGA y análisis de las pruebas escritas	EGA 2017 Psikometria lanak579_00000000000000000000001		Si	Código:ES21,Descripción:País Vasco,Principal: Si		Código:72316000-3,Descripción:Servicios de análisis de datos,Principal:Si	No	No	No	No	No							Ordinaria	Directo/Contrato Menor	Otras	12.000	14.520	21%(Tipo de IVA general)	12.000	14.520			8	No		No	1	Razón Social:UPV/EHU,Nacionalidad:España,Provincia:Bizkaia,UTE:No	25/01/2017	25/01/2017																	No																		No
